usd,clp,datetime,clpusd,clp_pu,demand_response
16327.0,14033220.0,2025-01-01 00:00:00,859.510014087095,1.7392383043817048,0.7495818012047224
16327.0,14033220.0,2025-01-01 01:00:00,859.510014087095,1.7392383043817048,0.7495818012047224
15698.0,13492588.0,2025-01-01 02:00:00,859.5100012740477,1.6722338761054796,0.759229201562665
13811.0,11870693.0,2025-01-01 03:00:00,859.5100282383607,1.471220715214026,0.7881713847918217
13811.0,11870693.0,2025-01-01 04:00:00,859.5100282383607,1.471220715214026,0.7881713847918217
13294.0,11426326.0,2025-01-01 05:00:00,859.5100045133142,1.416147103626437,0.7961009678628532
8072.0,6937965.0,2025-01-01 06:00:00,859.5100346878097,0.8598721093562002,0.8761942947801945
0.0,0.0,2025-01-01 07:00:00,,0.0,1.0
0.0,0.0,2025-01-01 08:00:00,,0.0,1.0
0.0,0.0,2025-01-01 09:00:00,,0.0,1.0
0.0,0.0,2025-01-01 10:00:00,,0.0,1.0
0.0,0.0,2025-01-01 11:00:00,,0.0,1.0
0.0,0.0,2025-01-01 12:00:00,,0.0,1.0
0.0,0.0,2025-01-01 13:00:00,,0.0,1.0
0.0,0.0,2025-01-01 14:00:00,,0.0,1.0
0.0,0.0,2025-01-01 15:00:00,,0.0,1.0
0.0,0.0,2025-01-01 16:00:00,,0.0,1.0
0.0,0.0,2025-01-01 17:00:00,,0.0,1.0
0.0,0.0,2025-01-01 18:00:00,,0.0,1.0
0.0,0.0,2025-01-01 19:00:00,,0.0,1.0
9995.0,8590802.0,2025-01-01 20:00:00,859.5099549774887,1.064720135774894,0.8466999617303178
1052.0,9042045.0,2025-01-01 21:00:00,8595.09980988593,1.1206459397018698,0.8386476786991264
11994.0,10308963.0,2025-01-01 22:00:00,859.5100050025012,1.2776642372922062,0.8160399433695786
11994.0,10308963.0,2025-01-01 23:00:00,859.5100050025012,1.2776642372922062,0.8160399433695786
12293.0,10565956.0,2025-01-02 00:00:00,859.5099650207435,1.3095152358198405,0.8114539877469207
12556.0,10792008.0,2025-01-02 01:00:00,859.5100350430073,1.3375314927574564,0.8074201641003115
12643.0,10866785.0,2025-01-02 02:00:00,859.5100055366606,1.3467991464168982,0.806085793111236
12643.0,10866785.0,2025-01-02 03:00:00,859.5100055366606,1.3467991464168982,0.806085793111236
12643.0,10866785.0,2025-01-02 04:00:00,859.5100055366606,1.3467991464168982,0.806085793111236
13173.0,11322325.0,2025-01-02 05:00:00,859.509982540044,1.4032575085873795,0.7979568315272801
12515.0,10756768.0,2025-01-02 06:00:00,859.5100279664402,1.3331639450494885,0.8080490103184671
5413.0,4652528.0,2025-01-02 07:00:00,859.5100683539627,0.5766213962161503,0.9169771669221607
0.0,0.0,2025-01-02 08:00:00,,0.0,1.0
0.0,0.0,2025-01-02 09:00:00,,0.0,1.0
0.0,0.0,2025-01-02 10:00:00,,0.0,1.0
0.0,0.0,2025-01-02 11:00:00,,0.0,1.0
0.0,0.0,2025-01-02 12:00:00,,0.0,1.0
0.0,0.0,2025-01-02 13:00:00,,0.0,1.0
0.0,0.0,2025-01-02 14:00:00,,0.0,1.0
0.0,0.0,2025-01-02 15:00:00,,0.0,1.0
0.0,0.0,2025-01-02 16:00:00,,0.0,1.0
0.0,0.0,2025-01-02 17:00:00,,0.0,1.0
0.0,0.0,2025-01-02 18:00:00,,0.0,1.0
679.0,583607.0,2025-01-02 19:00:00,859.5095729013254,0.0723306303973923,0.9895857248910573
13696.0,11771849.0,2025-01-02 20:00:00,859.5100029205607,1.4589702644295086,0.7899352234861285
13736.0,11806229.0,2025-01-02 21:00:00,859.5099737914968,1.4632312261264422,0.7893217236853287
13617.0,11703948.0,2025-01-02 22:00:00,859.5100242344129,1.4505548031094535,0.7911468945150442
12715.0,10928670.0,2025-01-02 23:00:00,859.5100275265435,1.354469001408601,0.8049814756251247
12417.0,10672536.0,2025-01-03 00:00:00,859.5100265764678,1.322724464954779,0.8095521026750983
12315.0,10584866.0,2025-01-03 01:00:00,859.5100284206253,1.3118588886903761,0.8111165450118094
11802.0,10143937.0,2025-01-03 02:00:00,859.5099983053719,1.2572113732724806,0.8189847781027609
11802.0,10143937.0,2025-01-03 03:00:00,859.5099983053719,1.2572113732724806,0.8189847781027609
11802.0,10143937.0,2025-01-03 04:00:00,859.5099983053719,1.2572113732724806,0.8189847781027609
12536.0,10774817.0,2025-01-03 05:00:00,859.5099712827058,1.3354008879717676,0.8077269318453828
10997.0,9452031.0,2025-01-03 06:00:00,859.5099572610712,1.1714584656553029,0.8313316132735661
7576.0,6511648.0,2025-01-03 07:00:00,859.5100316789863,0.8070355646281124,0.8838017815334704
1596.0,1371778.0,2025-01-03 08:00:00,859.5100250626566,0.17001435470320614,0.9755210724333412
0.0,0.0,2025-01-03 09:00:00,,0.0,1.0
13006.0,11178787.0,2025-01-03 10:00:00,859.5099953867445,1.3854678075968485,0.8005182199626268
30732.0,26414461.0,2025-01-03 11:00:00,859.5099895874008,3.273734920481306,0.5286426247313083
30732.0,26414461.0,2025-01-03 12:00:00,859.5099895874008,3.273734920481306,0.5286426247313083
30732.0,26414461.0,2025-01-03 13:00:00,859.5099895874008,3.273734920481306,0.5286426247313083
30732.0,26414461.0,2025-01-03 14:00:00,859.5099895874008,3.273734920481306,0.5286426247313083
30732.0,26414461.0,2025-01-03 15:00:00,859.5099895874008,3.273734920481306,0.5286426247313083
30732.0,26414461.0,2025-01-03 16:00:00,859.5099895874008,3.273734920481306,0.5286426247313083
30732.0,26414461.0,2025-01-03 17:00:00,859.5099895874008,3.273734920481306,0.5286426247313083
31073.0,26707554.0,2025-01-03 18:00:00,859.5099925980755,3.3100600527279425,0.5234124764731392
14091.0,12111355.0,2025-01-03 19:00:00,859.5099709034135,1.5010476949670057,0.7838768504968795
1048.0,9007665.0,2025-01-03 20:00:00,8595.100190839694,1.1163849780049362,0.8392611784999262
14758.0,12684649.0,2025-01-03 21:00:00,859.5100284591408,1.57210016079254,0.7736466074835056
15269.0,13123858.0,2025-01-03 22:00:00,859.509987556487,1.6265345041883668,0.7658090672272654
1464.0,12583226.0,2025-01-03 23:00:00,8595.099726775956,1.5595300759121415,0.775456467585208
13975.0,11960644.0,2025-01-04 00:00:00,855.8600357781753,1.4823689922821144,0.7865662387597754
13863.0,11864787.0,2025-01-04 01:00:00,855.8599870157974,1.4704887419801083,0.7882767754207782
13435.0,11498479.0,2025-01-04 02:00:00,855.8599925567547,1.4250895460150017,0.7948134212913839
13319.0,11399199.0,2025-01-04 03:00:00,855.859974472558,1.4127850586016342,0.7965850402623966
14114.0,12079608.0,2025-01-04 04:00:00,855.8599971659345,1.4971130599759483,0.7844433652780312
13862.0,11863931.0,2025-01-04 05:00:00,855.859976915308,1.4703826517179623,0.7882920504594486
12567.0,10755593.0,2025-01-04 06:00:00,855.8600302379248,1.333018318813482,0.8080699778072961
11011.0,9423874.0,2025-01-04 07:00:00,855.8599582235946,1.1679687652917032,0.8318340656845935
0.0,0.0,2025-01-04 08:00:00,,0.0,1.0
0.0,0.0,2025-01-04 09:00:00,,0.0,1.0
0.0,0.0,2025-01-04 10:00:00,,0.0,1.0
0.0,0.0,2025-01-04 11:00:00,,0.0,1.0
0.0,0.0,2025-01-04 12:00:00,,0.0,1.0
0.0,0.0,2025-01-04 13:00:00,,0.0,1.0
0.0,0.0,2025-01-04 14:00:00,,0.0,1.0
0.0,0.0,2025-01-04 15:00:00,,0.0,1.0
0.0,0.0,2025-01-04 16:00:00,,0.0,1.0
0.0,0.0,2025-01-04 17:00:00,,0.0,1.0
0.0,0.0,2025-01-04 18:00:00,,0.0,1.0
5467.0,4678987.0,2025-01-04 19:00:00,855.8600695079568,0.5799006511765682,0.9165050147630751
14824.0,12687269.0,2025-01-04 20:00:00,855.8600242849433,1.5724248763145285,0.7735998544445848
15545.0,13304344.0,2025-01-04 21:00:00,855.8600192988099,1.648903437662269,0.7625883538751078
14083.0,12053076.0,2025-01-04 22:00:00,855.8599730171128,1.4938247575983148,0.784916820098125
13775.0,11789472.0,2025-01-04 23:00:00,855.8600362976407,1.461154410095159,0.7896207468430367
13365.0,11388851.0,2025-01-05 00:00:00,852.1399925177703,1.4115025562270016,0.7967696969214623
12891.0,10984937.0,2025-01-05 01:00:00,852.1400201691102,1.3614425770863603,0.803977409502623
12497.0,10649194.0,2025-01-05 02:00:00,852.1400336080659,1.3198315223157497,0.8099686329936053
13305.0,11337723.0,2025-01-05 03:00:00,852.1400225479143,1.4051658939337839,0.7976820592779282
12965.0,11047995.0,2025-01-05 04:00:00,852.1399922869264,1.369257810439625,0.8028521602170254
1443.0,1229638.0,2025-01-05 05:00:00,852.1399861399861,0.15239791794921698,0.9780575140181492
14591.0,12433575.0,2025-01-05 06:00:00,852.1400178192036,1.5409827466827113,0.7781269404964795
8643.0,7365046.0,2025-01-05 07:00:00,852.1399976859886,0.9128033421219975,0.868573174698012
0.0,0.0,2025-01-05 08:00:00,,0.0,1.0
25752.0,21944309.0,2025-01-05 09:00:00,852.1399891270581,2.7197166990888895,0.6084110180281503
30514.0,26002200.0,2025-01-05 10:00:00,852.1400013108737,3.22264043734752,0.5359992867841757
30514.0,26002200.0,2025-01-05 11:00:00,852.1400013108737,3.22264043734752,0.5359992867841757
30514.0,26002200.0,2025-01-05 12:00:00,852.1400013108737,3.22264043734752,0.5359992867841757
30514.0,26002200.0,2025-01-05 13:00:00,852.1400013108737,3.22264043734752,0.5359992867841757
30514.0,26002200.0,2025-01-05 14:00:00,852.1400013108737,3.22264043734752,0.5359992867841757
