barra_mnemotecnico,barra_referencia_mnemotecnico,fecha,hora,costo_en_dolares,costo_en_pesos,nombre
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,1,"16,327","1,403,322",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,2,"16,327","1,403,322",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,3,"15,698","13,492,588",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,4,"13,811","11,870,693",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,5,"13,811","11,870,693",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,6,"13,294","11,426,326",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,7,"8,072","6,937,965",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,8,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,9,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,10,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,11,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,12,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,13,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,14,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,15,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,16,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,17,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,18,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,19,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,20,"0,0","0,0",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,21,"9,995","8,590,802",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,22,"105,2","9,042,045",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,23,"11,994","10,308,963",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-01,24,"11,994","10,308,963",BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002,BA02T0002SE032T0002,2023-01-02,1,"12,293","10,565,956",BA S/E VALDIVIA 220KV BP1
