barra_mnemotecnico	barra_referencia_mnemotecnico	fecha	hora	costo_en_dolares	costo_en_pesos	nombre
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	1	163,27	140,3322	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	2	163,27	140,3322	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	3	156,98	134,92588	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	4	138,11	118,70693	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	5	138,11	118,70693	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	6	132,94	114,26326	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	7	80,72	69,37965	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	8	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	9	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	10	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	11	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	12	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	13	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	14	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	15	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	16	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	17	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	18	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	19	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	20	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	21	99,95	85,90802	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	22	105,2	90,42045	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	23	119,94	103,08963	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-01	24	119,94	103,08963	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-02	1	122,93	105,65956	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-02	2	125,56	107,92008	BA S/E VALDIVIA 220KV BP1
