id,date,t_arr,t_dep,e_dem,ev_model
CE0000,2025-01-01,08:42:00,17:44:00,13.400000000000006,renault_kwid
CE0001,2025-01-01,08:59:00,12:12:00,22.45000000000001,byd_dolphin
CE0002,2025-01-01,09:00:00,17:44:00,17.960000000000004,byd_dolphin
CE0003,2025-01-01,09:02:00,12:10:00,8.04,renault_kwid
CE0004,2025-01-01,09:02:00,17:39:00,21.779999999999998,hyundai_ioniq
CE0005,2025-01-01,09:03:00,17:48:00,17.960000000000004,byd_dolphin
CE0006,2025-01-01,09:04:00,17:46:00,17.960000000000004,byd_dolphin
CE0007,2025-01-01,09:04:00,17:46:00,18.585,byd_qin
CE0008,2025-01-01,09:04:00,12:13:00,20.205000000000005,byd_dolphin
CE0009,2025-01-01,09:08:00,17:45:00,21.779999999999998,hyundai_ioniq
CE0010,2025-01-01,09:09:00,17:47:00,9.38,renault_kwid
CE0011,2025-01-01,09:11:00,17:40:00,9.38,renault_kwid
CE0012,2025-01-01,09:11:00,17:48:00,26.55000000000001,byd_qin
CE0013,2025-01-01,09:14:00,17:43:00,12.060000000000004,renault_kwid
CE0014,2025-01-01,09:16:00,11:53:00,20.205000000000005,byd_dolphin
CE0015,2025-01-01,09:16:00,12:06:00,18.585,byd_qin
CE0016,2025-01-01,09:17:00,17:47:00,9.38,renault_kwid
CE0017,2025-01-01,09:18:00,17:39:00,10.720000000000002,renault_kwid
CE0018,2025-01-01,09:19:00,17:31:00,22.45000000000001,byd_dolphin
CE0019,2025-01-01,09:19:00,17:46:00,12.060000000000004,renault_kwid
CE0020,2025-01-01,09:21:00,17:33:00,25.41,hyundai_ioniq
CE0021,2025-01-01,09:22:00,17:49:00,13.469999999999999,byd_dolphin
CE0022,2025-01-01,09:23:00,12:16:00,22.45000000000001,byd_dolphin
CE0023,2025-01-01,09:24:00,12:13:00,15.715000000000002,byd_dolphin
CE0024,2025-01-01,09:25:00,17:46:00,8.04,renault_kwid
CE0025,2025-01-01,09:26:00,17:39:00,13.400000000000006,renault_kwid
CE0026,2025-01-01,14:27:00,17:49:00,21.779999999999998,hyundai_ioniq
CE0027,2025-01-01,14:39:00,17:30:00,21.779999999999998,hyundai_ioniq
CE0028,2025-01-01,14:39:00,17:42:00,10.720000000000002,renault_kwid
CE0029,2025-01-02,08:58:00,17:40:00,13.469999999999999,byd_dolphin
CE0030,2025-01-02,09:03:00,17:40:00,20.205000000000005,byd_dolphin
CE0031,2025-01-02,09:04:00,17:48:00,21.779999999999998,hyundai_ioniq
CE0032,2025-01-02,09:05:00,17:49:00,9.38,renault_kwid
CE0033,2025-01-02,09:06:00,12:17:00,13.469999999999999,byd_dolphin
CE0034,2025-01-02,09:08:00,17:44:00,9.38,renault_kwid
CE0035,2025-01-02,09:08:00,17:43:00,15.715000000000002,byd_dolphin
CE0036,2025-01-02,09:13:00,12:14:00,10.720000000000002,renault_kwid
CE0037,2025-01-02,09:14:00,17:36:00,20.205000000000005,byd_dolphin
CE0038,2025-01-02,09:14:00,11:54:00,13.469999999999999,byd_dolphin
CE0039,2025-01-02,09:14:00,17:42:00,24.69500000000001,byd_dolphin
CE0040,2025-01-02,09:14:00,17:40:00,15.93,byd_qin
CE0041,2025-01-02,09:15:00,17:39:00,14.740000000000007,renault_kwid
CE0042,2025-01-02,09:15:00,12:17:00,13.469999999999999,byd_dolphin
CE0043,2025-01-02,09:15:00,17:49:00,10.720000000000002,renault_kwid
CE0044,2025-01-02,09:17:00,17:39:00,20.205000000000005,byd_dolphin
CE0045,2025-01-02,09:18:00,17:46:00,8.04,renault_kwid
CE0046,2025-01-02,09:19:00,12:06:00,29.040000000000003,hyundai_ioniq
CE0047,2025-01-02,09:20:00,12:18:00,26.55000000000001,byd_qin
CE0048,2025-01-02,09:21:00,12:13:00,15.93,byd_qin
CE0049,2025-01-02,09:21:00,12:06:00,12.060000000000004,renault_kwid
CE0050,2025-01-02,09:23:00,17:51:00,17.960000000000004,byd_dolphin
CE0051,2025-01-02,09:25:00,17:46:00,21.779999999999998,hyundai_ioniq
CE0052,2025-01-02,09:26:00,17:52:00,22.45000000000001,byd_dolphin
CE0053,2025-01-02,09:29:00,17:14:00,22.45000000000001,byd_dolphin
CE0054,2025-01-02,09:30:00,17:42:00,15.715000000000002,byd_dolphin
CE0055,2025-01-02,09:30:00,12:18:00,10.720000000000002,renault_kwid
CE0056,2025-01-02,14:40:00,17:45:00,8.04,renault_kwid
CE0057,2025-01-02,14:43:00,17:45:00,17.960000000000004,byd_dolphin
CE0058,2025-01-02,14:47:00,17:37:00,21.240000000000006,byd_qin
CE0059,2025-01-02,14:57:00,17:41:00,17.960000000000004,byd_dolphin
CE0060,2025-01-03,09:01:00,17:39:00,15.93,byd_qin
CE0061,2025-01-03,09:04:00,17:46:00,17.960000000000004,byd_dolphin
CE0062,2025-01-03,09:04:00,12:20:00,25.41,hyundai_ioniq
CE0063,2025-01-03,09:05:00,17:33:00,13.400000000000006,renault_kwid
CE0064,2025-01-03,09:09:00,12:18:00,12.060000000000004,renault_kwid
CE0065,2025-01-03,09:11:00,17:30:00,13.469999999999999,byd_dolphin
CE0066,2025-01-03,09:11:00,17:44:00,20.205000000000005,byd_dolphin
CE0067,2025-01-03,09:13:00,17:42:00,13.469999999999999,byd_dolphin
CE0068,2025-01-03,09:13:00,17:37:00,17.960000000000004,byd_dolphin
CE0069,2025-01-03,09:13:00,17:46:00,29.040000000000003,hyundai_ioniq
CE0070,2025-01-03,09:14:00,12:18:00,10.720000000000002,renault_kwid
CE0071,2025-01-03,09:15:00,12:15:00,21.779999999999998,hyundai_ioniq
CE0072,2025-01-03,09:16:00,12:17:00,20.205000000000005,byd_dolphin
CE0073,2025-01-03,09:16:00,17:50:00,15.93,byd_qin
CE0074,2025-01-03,09:17:00,17:50:00,26.55000000000001,byd_qin
CE0075,2025-01-03,09:19:00,17:45:00,29.040000000000003,hyundai_ioniq
CE0076,2025-01-03,09:20:00,17:42:00,24.69500000000001,byd_dolphin
CE0077,2025-01-03,09:23:00,17:47:00,17.960000000000004,byd_dolphin
CE0078,2025-01-03,09:24:00,12:07:00,8.04,renault_kwid
CE0079,2025-01-03,09:24:00,17:37:00,22.45000000000001,byd_dolphin
CE0080,2025-01-03,09:25:00,12:17:00,20.205000000000005,byd_dolphin
CE0081,2025-01-03,09:35:00,17:40:00,8.04,renault_kwid
CE0082,2025-01-03,09:37:00,17:37:00,23.895000000000007,byd_qin
CE0083,2025-01-03,14:36:00,17:44:00,9.38,renault_kwid
CE0084,2025-01-03,14:36:00,17:46:00,21.240000000000006,byd_qin
CE0085,2025-01-03,14:39:00,17:40:00,13.400000000000006,renault_kwid
CE0086,2025-01-03,14:42:00,17:49:00,20.205000000000005,byd_dolphin
CE0087,2025-01-03,14:45:00,17:39:00,12.060000000000004,renault_kwid
CE0088,2025-01-03,14:47:00,17:45:00,10.720000000000002,renault_kwid
CE0089,2025-01-03,14:55:00,17:48:00,15.715000000000002,byd_dolphin
CE0090,2025-01-03,14:56:00,17:47:00,24.69500000000001,byd_dolphin
CE0091,2025-01-03,15:04:00,17:34:00,21.779999999999998,hyundai_ioniq
CE0092,2025-01-03,15:04:00,17:25:00,9.38,renault_kwid
CE0093,2025-01-04,09:23:00,12:15:00,24.69500000000001,byd_dolphin
CE0094,2025-01-05,09:10:00,17:41:00,13.400000000000006,renault_kwid
CE0095,2025-01-05,09:13:00,12:13:00,15.93,byd_qin
CE0096,2025-01-05,09:20:00,17:43:00,12.060000000000004,renault_kwid
CE0097,2025-01-06,08:51:00,12:02:00,29.040000000000003,hyundai_ioniq
CE0098,2025-01-06,08:54:00,17:44:00,8.04,renault_kwid
