Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;255.092;kWh;18.01.2021 11-12;;;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;143.984;kWh;06.01.2021 04-05;;;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock;;
;01.01.2021;145.094;145.802;145.586;147;146.24;146.74;155.616;160.702;166.358;162.256;159.324;159.292;158.276;158.154;158.25;160.158;165.274;166.372;164.882;165.852;165.324;147.982;145.102;145.624;;
;02.01.2021;145.65;145.824;145.238;145.246;145.162;146.648;154.502;158.946;162.718;166.652;164.158;163.688;164.476;164.932;164.998;156.93;159.948;161.022;151.63;150.332;150.29;147.616;146.674;146.868;;
;03.01.2021;146.07;146.746;146.248;145.822;145.492;146.306;147.92;150.584;150.834;147.464;144.952;144.058;145.106;144.854;144.29;144.966;150.676;151.816;149.274;149.42;148.24;147.59;147.646;146.858;;
;04.01.2021;146.938;147.036;146.63;146.92;146.094;147.63;156.844;174.864;192.954;203.044;216.142;224.336;216.658;212.048;214.17;213.982;206.074;198.28;190.62;180.724;175.004;157.492;151.752;156.836;;
;05.01.2021;154.168;151.864;152.182;151.694;151.676;152.498;161.234;181.294;199.982;199.236;200.61;209.278;210.184;221.188;212.708;211.528;208.964;198.774;184.852;174.564;171.802;152.134;147.23;146.366;;
;06.01.2021;146.226;145.524;144.726;146.232;143.984;145.976;153.694;171.274;185.438;198.826;203.942;215.496;208.26;214.86;215.306;207.138;206.888;196.394;190.012;183.608;176.158;160.516;151.274;150.452;;
;07.01.2021;150.684;149.892;149.784;150.844;149.93;151.238;160.988;177.88;195.028;207.17;208.172;212.686;216.762;213.606;211.9;210.648;209.052;199.154;191.72;187.63;179.828;162.372;157.468;157.702;;
;08.01.2021;156.864;157.764;157.158;157.074;156.998;159.75;168.318;185.264;206.262;214.284;212.662;219.142;218.298;223.72;220.064;217.18;213.516;204.242;197.01;191.944;186.914;167.148;164.208;164.524;;
;09.01.2021;164.734;163.996;164.43;164.744;163.874;164.694;175.126;178.69;181.888;185.674;188.44;191.924;193.088;191.842;191.766;185.224;189.544;185.43;176.994;175.59;175.056;172.336;171.416;169.344;;
;10.01.2021;170.108;170.542;169.692;169.656;170.62;170.812;171.976;174.552;175.628;169.102;167.9;168.282;169.15;169.39;168.764;171.456;174.03;175.936;171.944;173.11;171.284;171.216;170.414;169.026;;
;11.01.2021;168.494;169.574;169.082;168.498;169.48;170.344;180.942;200.854;218.586;221.118;228.568;230.008;226.608;223.262;217.426;207.776;210.502;207.704;195.112;183.434;179.034;161.7;155.25;156.304;;
