Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;217.248;kWh;09.03.2021 12-13;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;0;kWh;28.03.2021 03-04;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.03.2021;153.34;156.096;154.384;154.454;155.768;156.34;165.562;179.242;196.794;204.658;204.342;202.062;204.57;201.124;195.188;188.682;183.564;183.708;183.78;184.476;180.928;162.882;159.67;158.862
;02.03.2021;158.042;160.276;159.666;159.668;160.04;162.794;169.178;178.648;192.41;200.998;204.19;201.202;199.708;193.54;194.314;196.724;190.522;185.878;187.498;188.078;182.498;163.672;158.71;160.174
;03.03.2021;159.076;158.816;159.084;161.244;159.702;161.22;170.476;180.126;198.414;207.272;210.33;208.99;211.478;208.312;199.568;199.53;201.032;193.936;192.912;187.424;184.816;164.796;162.206;162.334
;04.03.2021;159.554;159.394;160.206;163.862;161.58;161.758;170.494;179.9;196.774;205.83;213.048;210.692;215.168;208.774;206.576;197.824;187.366;180.726;185.224;184.444;178.176;155.56;152.57;151.042
;05.03.2021;150.926;153.25;152.786;153.856;152.936;156.202;162.158;173.198;192.856;195.272;197.728;199.056;202.786;200.106;195.46;194.042;191.762;182.258;182.096;182.798;174.836;157.442;153.136;153.032
;06.03.2021;152.286;151.23;152.668;150.85;152.976;155.358;164.322;161.296;166.54;170.948;169.428;168.168;167.734;170.664;166.626;157.486;158.67;157.578;153.248;154.154;155.346;151.438;149.486;150.004
;07.03.2021;149.216;148.944;150.256;149.034;149.348;149.05;151.24;146.566;147.474;148.446;147.452;146.87;148.638;148.4;145.784;147.326;149.704;148.902;154.622;155.08;155.172;153.27;151.38;153.486
;08.03.2021;151.088;151.974;153.05;156.254;154.408;156.032;165.218;175.538;197.024;207.462;209.746;212.648;212.382;209.256;204.96;207.116;209.338;201.846;202.276;199.33;194.38;175.372;168.91;167.988
;09.03.2021;167.738;168.922;169.156;171.196;171.55;172.158;182.256;188.868;204.67;211.336;213.944;211.022;217.248;210.714;206.672;205.644;202.764;192.85;191.638;192.248;188.56;169.084;162.052;161.934
