Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;303.348;kWh;21.06.2021 12-13;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;118.082;kWh;16.06.2021 05-06;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.06.2021;133.846;133.202;132.116;132.454;130.52;129.168;132.544;174.722;200.758;217.876;222.454;219.998;213.722;209.008;207.854;205.73;198.082;185.41;181.348;177.208;170.448;168.482;137.042;136.874
;02.06.2021;133.27;136.634;132.74;127.8;128.666;124.65;126.196;169.072;191.014;214.776;218.998;215.486;215.936;220.032;221.35;216.806;201.582;188.906;189.398;177.464;175.006;166.372;136.45;134.66
;03.06.2021;130.194;131.412;133.262;132.144;131.674;129.004;133.916;175.202;198.556;212.732;216.442;228.99;223.736;223.204;221.386;213.89;207.534;197.262;193.738;195.562;185.598;175;143.888;137.388
;04.06.2021;139.734;138.45;137.748;135.732;131.368;131.09;133.466;170.78;194.146;199.334;215.262;224.32;224.488;219.424;221.784;216.992;208.534;206.442;206.144;199.328;189.966;174.64;141.482;136.074
;05.06.2021;134.606;135.836;138.474;136.186;136.938;134.57;137.718;171.472;185.052;175.398;179.662;184.436;182.476;178.224;179.96;177.748;140.02;131.1;129.38;127.808;127.546;123.642;125.948;127.664
;06.06.2021;129.084;127.07;127.494;129.362;128.598;121.494;121.094;122.598;128.308;120.598;123.606;122.788;125.102;127.726;126.146;127.674;129.73;134.902;129.108;129.68;128.298;124.952;123.328;124.522
;07.06.2021;129.392;129.902;130.974;131.076;130.566;124.212;131.46;163.856;187.888;202.366;219.478;221.088;227.294;224.324;222.912;217.49;210.05;208.956;204.95;200.642;190.29;172.768;134.67;130.912
;08.06.2021;132.248;129.718;132.336;131.304;125.668;122.936;124.866;163.454;179.754;197.842;207.516;212.908;203.96;211.236;209.5;207.306;198.334;199.57;196.12;188.192;175.154;163.798;128.57;129.766
;09.06.2021;128.178;129.372;130.034;129.942;128.38;126.798;128.988;165.774;180.924;198.212;204.382;203.242;208.058;203.846;197.998;201.826;202.194;198.412;198.716;188.626;173.962;164.564;130.9;124.936
;10.06.2021;126.942;126.938;131.474;126.198;123.878;122.618;120.922;168.76;174.936;195.68;208.43;213.19;223.556;239.11;238.852;238.062;230.87;227.306;217.856;209.658;190.748;178.248;136.048;128.068
;11.06.2021;125.656;128.318;128.524;128.802;126.51;124.264;127.442;166.39;190.852;222.058;241.142;246.336;245.076;250.914;237.246;213.112;209.994;223.994;221.228;219.774;202.072;189.828;135.944;127.818
