Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
01.01.2021,145.094,145.802,145.586,147,146.24,146.74,155.616,160.702,166.358,162.256,159.324,159.292,158.276,158.154,158.25,160.158,165.274,166.372,164.882,165.852,165.324,147.982,145.102,145.624
02.01.2021,145.65,145.824,145.238,145.246,145.162,146.648,154.502,158.946,162.718,166.652,164.158,163.688,164.476,164.932,164.998,156.93,159.948,161.022,151.63,150.332,150.29,147.616,146.674,146.868
03.01.2021,146.07,146.746,146.248,145.822,145.492,146.306,147.92,150.584,150.834,147.464,144.952,144.058,145.106,144.854,144.29,144.966,150.676,151.816,149.274,149.42,148.24,147.59,147.646,146.858
04.01.2021,146.938,147.036,146.63,146.92,146.094,147.63,156.844,174.864,192.954,203.044,216.142,224.336,216.658,212.048,214.17,213.982,206.074,198.28,190.62,180.724,175.004,157.492,151.752,156.836
05.01.2021,154.168,151.864,152.182,151.694,151.676,152.498,161.234,181.294,199.982,199.236,200.61,209.278,210.184,221.188,212.708,211.528,208.964,198.774,184.852,174.564,171.802,152.134,147.23,146.366
06.01.2021,146.226,145.524,144.726,146.232,143.984,145.976,153.694,171.274,185.438,198.826,203.942,215.496,208.26,214.86,215.306,207.138,206.888,196.394,190.012,183.608,176.158,160.516,151.274,150.452
07.01.2021,150.684,149.892,149.784,150.844,149.93,151.238,160.988,177.88,195.028,207.17,208.172,212.686,216.762,213.606,211.9,210.648,209.052,199.154,191.72,187.63,179.828,162.372,157.468,157.702
08.01.2021,156.864,157.764,157.158,157.074,156.998,159.75,168.318,185.264,206.262,214.284,212.662,219.142,218.298,223.72,220.064,217.18,213.516,204.242,197.01,191.944,186.914,167.148,164.208,164.524
09.01.2021,164.734,163.996,164.43,164.744,163.874,164.694,175.126,178.69,181.888,185.674,188.44,191.924,193.088,191.842,191.766,185.224,189.544,185.43,176.994,175.59,175.056,172.336,171.416,169.344
10.01.2021,170.108,170.542,169.692,169.656,170.62,170.812,171.976,174.552,175.628,169.102,167.9,168.282,169.15,169.39,168.764,171.456,174.03,175.936,171.944,173.11,171.284,171.216,170.414,169.026
11.01.2021,168.494,169.574,169.082,168.498,169.48,170.344,180.942,200.854,218.586,221.118,228.568,230.008,226.608,223.262,217.426,207.776,210.502,207.704,195.112,183.434,179.034,161.7,155.25,156.304
12.01.2021,155.546,156.64,156.12,156.114,155.638,157.06,165.876,182.358,204.954,213.584,232.312,236.862,238.156,244.882,235.092,225.022,221.644,213.652,216.952,209.48,201.418,183.682,177.392,173.24
13.01.2021,170.57,171.436,171.218,171.644,170.322,173.562,183.552,197.376,211.218,223.766,223.414,229.702,227.586,227.174,231.494,229.066,228.202,227.778,226.578,217.34,212.532,195.038,186.098,185.894
14.01.2021,187.506,188.404,188.49,188.59,188.926,189.888,198.59,216.638,222.702,221.244,224.4,238.316,240.172,243.338,238.496,233.232,233.55,233.266,224.85,211.998,208.956,187.552,182.672,182.398
15.01.2021,182.746,181.828,182.918,184.26,183.438,186.97,196.022,215.492,230.66,233.756,244.758,243.394,242.81,242.808,243.806,245.538,249.088,253.476,241.562,227.974,223.79,203.702,198.46,198.094
16.01.2021,198.964,197.99,198.954,199.036,198.026,200.016,209.784,216.364,216.56,218.634,220.79,223.518,225.836,227.64,220.084,208.264,212.576,215.46,206.948,205.678,205.164,200.446,199.246,200.024
17.01.2021,198.678,199.092,199.202,200.762,199.814,201.256,203.89,205.482,204.962,203.84,202.3,201.976,201.842,201.546,200.624,201.626,206.96,208.862,206.244,207.142,204.388,203.92,201.962,200.002
18.01.2021,199.036,199.612,199.546,199.366,199.314,205.034,212.482,231.298,247.364,250.058,250.966,255.092,250.046,244.498,246.534,245.43,247.552,244.35,238.782,232.06,222.916,202.8,199.07,197.972
19.01.2021,195.998,199.53,196.712,195.616,199.784,197.424,207.772,225.356,244.924,246.396,246.054,248.946,239.598,237.214,236.99,234.686,231.026,228.1,224.156,217.31,210.912,188.606,184.172,185.386
20.01.2021,183.556,184.564,185.576,185.168,184.19,186.992,195.752,211.18,230.692,245.98,244.272,247.862,245.046,247.98,243.994,243.262,239.288,235.324,223.628,216.762,212.786,194.44,187.308,186.322
21.01.2021,188.834,187.55,186.684,188.054,186.458,186.386,196.034,210.244,222.428,227.302,237.26,249.392,244.454,241.046,238.238,236.778,242.098,239.808,231.12,225.464,220.562,199.28,193.552,192.068
22.01.2021,193.044,193.72,193.722,194.656,193.906,193.976,204.438,219.576,222.832,229.012,231.544,237.448,230.08,228.132,227.698,230.96,226.96,222.368,211.058,208.08,203.598,185.454,183.582,181.722
23.01.2021,181.888,182.798,181.712,183.872,183.514,183.752,194.48,197.28,201.914,202.64,203.21,203.95,200.948,198.56,196.876,188.868,190.468,191.692,180.756,176.372,173.17,171.532,171.53,169.926
24.01.2021,169.374,169.52,169.176,170.598,168.208,169.822,171.462,173.094,172.88,168.728,168.174,169.772,169.408,169.206,170.892,166.654,171.184,171.788,171.53,172.472,171.06,170.934,169.44,169.524
25.01.2021,170.57,168.1,169.39,169.044,169.056,172.554,179.556,199.366,214.196,221.176,228.02,239.398,238.416,239.098,234.878,233.296,231.21,215.944,209.356,207.85,202.832,186.876,182.456,179.352
26.01.2021,180.762,181.988,180.334,179.94,181.124,181.852,190.104,207.816,215.992,227.53,224.882,227.912,216.534,213.562,210.336,206.54,204.938,206.76,199.566,194.25,191.86,175.938,172.748,175.938
27.01.2021,172.292,173.148,174.246,173.568,173.846,176.608,181.382,198.564,217.832,219.554,219.528,228.44,230.868,230.898,226.028,224.176,222.058,211.736,210.092,202.16,196.622,180.3,174.02,173.608
28.01.2021,174.124,172.522,172.472,174.51,172.852,174.89,183.32,198.348,217.154,225.58,236.824,231.368,219.95,221.088,221.5,226.772,225.11,215.964,211.098,207.996,201.202,182.17,176.362,176.008
29.01.2021,176.476,175.992,177.134,175.532,174.51,177.014,184.876,200.282,211.916,212.454,213.29,215.706,216.23,214.814,209.086,200.264,198.632,192.114,186.892,183.934,178.894,161.546,158.312,159.236
30.01.2021,157.992,158.666,160.314,158.488,158.902,162.568,168.608,172.394,175.834,177.822,181.986,180.584,181.78,180.808,177.338,162.784,165.352,165.538,157.29,156.986,155.596,153.682,152.382,153.964
31.01.2021,152.032,151.908,154.07,153.232,153.882,155.038,155.69,155.888,152.432,153.12,151.26,150.004,150.552,147.672,147.904,150.294,152.15,154.302,152.052,152.56,150.01,149.468,150.104,150.53
01.02.2021,150.648,150.662,150.662,151.056,150.88,152.26,163.166,176.708,190.416,208.382,218.204,221.588,219.95,219.536,214.4,207.206,206.452,201.938,196.776,191.976,187.766,172.192,167.202,165.856
02.02.2021,166.37,167.592,166.314,166.066,166.558,167.028,177.052,195.824,217.744,223.77,228.962,234.378,230.64,228.408,229.24,223.468,228.782,225.536,221.164,215.162,210.884,190.326,186.052,184.32
03.02.2021,183.898,183.566,183.812,182.606,182.388,185.2,193.578,204.784,219.256,228.59,232.532,235.086,226.854,232.566,236.402,232.688,228.22,216.414,217.614,211.724,205.1,186.046,181.954,179.828
04.02.2021,179.96,180.642,181.006,182.466,182.216,184.556,192.066,207.366,228.464,233.486,243.092,242.968,242.112,240.428,240.286,231.25,226.078,219.314,215.906,214.328,206.102,189.168,183.664,182.612
05.02.2021,183.366,183.982,182.074,183.784,183.706,187.18,196.856,212.606,222.416,226.728,231.498,234.216,229.432,230.588,224.706,223.902,213.5,208.118,203.504,200.704,194.1,175.28,172.022,172.118
06.02.2021,171.652,173.284,171.22,171.912,172.014,175.052,184.002,187.134,193.174,207.622,208.032,207.476,209.376,206.336,205.184,198.87,198.596,196.89,186.508,183.946,183.2,180.322,181.702,177.716
07.02.2021,178.666,181.396,178.928,179.778,179.684,181.428,182.9,186.11,184.366,182.582,180.3,179.624,179.024,176.842,175.106,179.588,178.114,182.882,184.338,183.676,184.686,183.162,183.352,181.83
08.02.2021,182.812,185.098,182.082,182.248,182.65,186.94,197.514,210.392,226.99,245.392,250.202,247.01,239.416,239.744,236.786,232.464,224.35,214.376,208.74,204.076,195.842,179.474,173.88,173.328
09.02.2021,173.604,174.708,171.896,171.724,174.148,174.72,182.414,200.106,206.128,221.502,230.57,241.376,239.152,239.396,235.78,232.436,233.16,223.064,222.694,215.336,208.872,188.276,183.724,184.294
10.02.2021,184.622,183.668,183.562,184.756,183.45,185.458,195.804,212.106,227.902,230.1,227.026,230.766,236.312,236.492,236.438,228.518,240.368,231.726,230.124,220.958,217.796,197.24,191.734,192.248
11.02.2021,189.86,189.454,188.872,190.266,188.074,189.124,205.73,224.522,243.588,251.706,245.984,241.144,245.076,240.398,227.104,222.766,223.126,221.854,221.79,217.83,213.708,190.688,185.886,185.966
12.02.2021,185.046,185.206,184.764,186.568,185.1,186.734,197.702,213.882,224.388,231.126,227.23,230.962,229.494,228.452,225.658,221.902,215.06,216.244,211.762,212.268,204.238,182.872,177.914,176.948
13.02.2021,177.548,177.344,178.792,175.762,175.632,179.094,185.376,188.166,189.302,194.766,192.962,193.692,195.63,194.518,192.208,187.892,182.514,183.528,178.3,179.228,177.018,174.972,173.562,173.158
14.02.2021,172.942,171.642,172.594,171.14,170.71,174.63,174.322,173.934,170.944,172.934,171.44,171.742,171.906,170.862,170.166,174.288,173.582,176.656,178.464,179.444,178.386,177.662,177.474,175.224
15.02.2021,175.948,175.51,176.808,175.748,176.33,181.418,189.092,203.494,210.072,220.932,215.86,226.242,228.986,241.472,243.778,239.914,240.56,237.758,236.098,232.544,227.25,207.902,199.49,197.68
16.02.2021,196.964,199.702,198.874,197.238,199.074,199.668,208.738,223.806,242.148,254.19,256.822,250.09,249.434,244.41,238.712,231.028,229.546,229.82,231.218,226.19,217.386,197.274,191.612,192.21
17.02.2021,192.904,191.286,191.874,192.114,192.44,194.942,206.804,225.26,234.358,249.496,251.198,243.422,246.102,245.214,226.62,226.324,228.394,226.618,231.012,227.852,224.552,201.11,194.744,195.542
18.02.2021,193.294,194.41,195.83,193.898,193.88,195.03,205.834,218.32,235.036,246.434,254.196,255.46,258.53,261.39,262.01,251.546,235.454,227.734,228.072,222.58,215.244,196.538,188.312,187.46
19.02.2021,187.558,187.776,189.352,188.092,187.466,191.042,197.736,215.238,225.196,221.952,231.646,247.464,251.388,242.488,236.782,232.652,229.242,225.408,224.168,221.88,215.802,196.42,189.932,188.132
20.02.2021,188.236,188.456,189.67,188.716,188.772,191.126,198.44,201.456,204.458,204.04,203.508,202.496,203.87,201.446,200.284,194.818,193.904,192.866,190.568,187.828,186.206,183.23,182.684,180.91
21.02.2021,181.03,181.548,180.328,179.698,179.876,182.13,181.89,180.974,179.982,178.252,177.04,174.758,175.734,173.354,171.414,174.288,172.496,176.982,179.162,181.262,178.242,175.754,176.144,174.958
22.02.2021,175.792,177.896,175.88,177.882,180.678,184.918,191.182,203.534,214.716,224.684,222.844,223.882,219.632,216.134,206.52,200.608,197.126,202.542,205.338,199.456,191.564,174.332,169.288,169.208
23.02.2021,169.27,168.214,168.84,168.974,169.706,170.97,179.184,194.676,210.328,213.994,211.166,211.854,223.344,224.348,225.794,224.072,215.008,208.15,203.938,199.078,190.816,171.582,164.54,164.32
24.02.2021,165.542,163.986,164.006,163.884,166.56,165.696,175.336,190.41,199.862,208.704,211.8,214.302,211.214,224.754,220.568,219.34,215.36,208.594,206.882,202.828,195.12,175.704,168.812,168.432
25.02.2021,169.478,169.218,169.34,169.67,168.712,169.1,179.828,189.206,199.292,192.35,194.184,196.44,197.976,195.198,192.044,195.654,195.624,192.196,191.15,187.31,181.108,161.552,156.672,156.742
26.02.2021,159.662,158.35,156.314,157.028,158.6,158.754,168.332,180.396,178.424,188.362,200.046,204.042,204.334,200.804,196.56,195.96,192.81,186.042,186.788,186.882,176.724,157.684,152.818,153.23
27.02.2021,152.046,151.108,151.69,155.07,153.356,155.4,165.278,164.394,168.338,170.722,169.4,169.438,167.194,166.444,165.004,157.576,156.796,160.12,157.136,157.242,160.842,157.206,157.268,156.138
28.02.2021,155.338,156.296,154.964,155.882,156.332,155.494,157.982,153.642,152.71,152.956,151.17,151.21,153.686,150.22,148.944,146.558,145.418,147.084,149.974,152.232,156.17,154.096,155.3,153.178
01.03.2021,153.34,156.096,154.384,154.454,155.768,156.34,165.562,179.242,196.794,204.658,204.342,202.062,204.57,201.124,195.188,188.682,183.564,183.708,183.78,184.476,180.928,162.882,159.67,158.862
02.03.2021,158.042,160.276,159.666,159.668,160.04,162.794,169.178,178.648,192.41,200.998,204.19,201.202,199.708,193.54,194.314,196.724,190.522,185.878,187.498,188.078,182.498,163.672,158.71,160.174
03.03.2021,159.076,158.816,159.084,161.244,159.702,161.22,170.476,180.126,198.414,207.272,210.33,208.99,211.478,208.312,199.568,199.53,201.032,193.936,192.912,187.424,184.816,164.796,162.206,162.334
04.03.2021,159.554,159.394,160.206,163.862,161.58,161.758,170.494,179.9,196.774,205.83,213.048,210.692,215.168,208.774,206.576,197.824,187.366,180.726,185.224,184.444,178.176,155.56,152.57,151.042
05.03.2021,150.926,153.25,152.786,153.856,152.936,156.202,162.158,173.198,192.856,195.272,197.728,199.056,202.786,200.106,195.46,194.042,191.762,182.258,182.096,182.798,174.836,157.442,153.136,153.032
06.03.2021,152.286,151.23,152.668,150.85,152.976,155.358,164.322,161.296,166.54,170.948,169.428,168.168,167.734,170.664,166.626,157.486,158.67,157.578,153.248,154.154,155.346,151.438,149.486,150.004
07.03.2021,149.216,148.944,150.256,149.034,149.348,149.05,151.24,146.566,147.474,148.446,147.452,146.87,148.638,148.4,145.784,147.326,149.704,148.902,154.622,155.08,155.172,153.27,151.38,153.486
08.03.2021,151.088,151.974,153.05,156.254,154.408,156.032,165.218,175.538,197.024,207.462,209.746,212.648,212.382,209.256,204.96,207.116,209.338,201.846,202.276,199.33,194.38,175.372,168.91,167.988
09.03.2021,167.738,168.922,169.156,171.196,171.55,172.158,182.256,188.868,204.67,211.336,213.944,211.022,217.248,210.714,206.672,205.644,202.764,192.85,191.638,192.248,188.56,169.084,162.052,161.934
10.03.2021,162.288,161.888,163.328,162.118,162.154,163.474,171.594,180.142,194.312,203.902,200.686,192.894,197.198,198.356,201.4,200.908,198.052,192.318,186.038,188.388,180.49,159.2,152.582,153.346
11.03.2021,152.3,153.062,154.37,151.728,152.43,152.36,162.186,170.64,183.746,190.984,192.164,192.09,188.128,188.652,183.432,187.754,192.662,180.362,179.162,179.884,173.842,153.108,147.976,148.506
12.03.2021,147.294,148.592,149.662,149.026,148.75,149.69,158.258,163.416,173.084,180.66,191.028,197.076,196.604,193.822,189.008,188.744,178.946,165.862,162.286,161.71,157.29,138.068,133.836,135.858
