n30,n60,n90,n30_25kwh,n30_50kwh,n30_75kwh,n60_25kwh,n60_50kwh,n60_75kwh,n90_25kwh,n90_50kwh,n90_75kwh
6057.340967109668,6058.589966354344,6059.128479335703,6056.876592627506,6057.462135759133,6056.768333176082,6058.150015309324,6057.826682652047,6057.764078782182,6058.904332438919,6058.729411611502,6060.336176591607
5178.531033304701,5179.109142443296,5180.309426597158,5179.190785770811,5179.378067150676,5178.720228632299,5178.9714312108545,5179.406085701663,5179.504917763185,5179.9474688158225,5180.53692943776,5180.183097377899
5827.243819685211,5829.120729640919,5829.232573818366,5827.785449257178,5827.327120750911,5827.996308120716,5828.54612896627,5828.769230100672,5828.136497630377,5828.600856475844,5829.420917844358,5829.4310482547035
5929.9803693797385,5931.5895924936785,5933.304522050803,5929.752769833949,5929.6505933731105,5929.882078697699,5933.609820643764,5933.380791821191,5933.0821899606035,5934.413742031882,5933.626075861081,5934.51091717778
5687.905875958502,5688.143979317338,5688.259258889257,5687.218414831155,5687.513077743573,5687.352770679639,5688.151997173784,5688.283673932163,5687.552508746722,5687.138061074035,5687.103749443146,5687.392649443421
5642.369511982539,5641.506569757203,5643.012394596712,5642.705426072089,5642.980168831883,5643.051143948002,5642.270223457506,5641.987667143896,5642.0408296026135,5642.87603545882,5643.366259056473,5643.114782575968
5795.032499743006,5795.678463733652,5796.614941979435,5795.526844189537,5795.320574571268,5795.6395227697285,5795.682154507196,5795.156918073943,5795.90412196501,5797.026187038881,5796.8932774456725,5796.921567717042
5707.9360801295425,5711.276959275117,5712.118030060057,5707.630119270085,5707.441866449846,5707.637888912854,5710.583164808102,5711.326979857118,5710.428368130888,5712.258841168482,5712.572017245953,5711.918687366663
5689.969023351176,5692.510826087806,5693.663740324441,5690.840268809505,5691.255985352091,5690.776291179316,5692.149818842622,5692.3458541271175,5691.202290473889,5693.65172283923,5691.832265072799,5692.509908507271
5743.606218433083,5745.676158475302,5746.564254349388,5744.423874713491,5743.986927392421,5744.944736270331,5744.451507280146,5745.830926886462,5744.777055017688,5746.569983436032,5745.989569384561,5745.745790112958
5558.876610412458,5561.133121679859,5561.096031532153,5559.408202500321,5559.699428459163,5559.147946277663,5560.957932273682,5560.653600711317,5560.301737903649,5560.889554128902,5560.596529623997,5561.508964098329
5925.61652574584,5926.510659591506,5928.280635766997,5926.181910295347,5925.280630564551,5926.068244607932,5926.883658037259,5927.407544761041,5927.234823197747,5926.659586598613,5927.4658448333585,5927.089245402887
