n30,n60,n90,n30_25kwh,n30_50kwh,n30_75kwh,n60_25kwh,n60_50kwh,n60_75kwh,n90_25kwh,n90_50kwh,n90_75kwh
3876.9233798099476,2695.0434392058755,2041.2595284755305,,,,,,,,,
3493.9576716153997,2622.723552697215,2078.8129161997476,,,,,,,,,
4036.6514807512713,3149.3807745759686,2606.134973265107,,,,,,,,,
4743.171457951933,4003.8792309902665,3532.3845511988047,,,,,,,,,
4955.3899566746095,4404.812555355162,4047.092018570511,,,,,,,,,
5175.9537670238415,4832.608422564045,4570.415357072245,,,,,,,,,
5189.01111196641,4714.331798355198,4380.747547380657,,,,,,,,,
4708.535689074217,4118.308533000312,3754.6619446939744,,,,,,,,,
4345.336329981597,3532.524965789195,3046.100761205016,,,,,,,,,
4245.9630693194185,3363.5913402402575,2807.7003492557183,,,,,,,,,
4018.6084738905442,3171.6875924653345,2626.2602869136254,,,,,,,,,
3915.5446064266102,2794.9753673330924,2188.8706081469863,,,,,,,,,
