n30,n60,n90,n30_25kwh,n30_50kwh,n30_75kwh,n60_25kwh,n60_50kwh,n60_75kwh,n90_25kwh,n90_50kwh,n90_75kwh
1518.5432109138198,4034.3750717010566,7079.013448625622,,,,,,,,,
1443.0201369721797,3698.8014096480697,6281.2839897291615,,,,,,,,,
1050.8624302146704,3003.1695855624266,5301.2667115535905,,,,,,,,,
556.2647651453043,1558.4369940141653,2828.301063610004,,,,,,,,,
458.27135782809586,1098.2431325368766,1931.1945955674207,,,,,,,,,
358.1095467951698,840.1524385718786,1400.9788422507918,,,,,,,,,
324.78163328067217,780.259379053843,1376.5416732084325,,,,,,,,,
586.8994769489016,1579.631312015492,2801.4435232112864,,,,,,,,,
901.6588090295886,2332.5971467747045,4091.3115326285943,,,,,,,,,
1310.504263476682,3234.2100092422716,5485.5783372710885,,,,,,,,,
1447.8228797354,3586.7365055227583,6029.437308599643,,,,,,,,,
1480.1593891452887,3848.927327040519,6731.283902512985,,,,,,,,,
