id,e_dem,e_ch,satisfaction,cp
CE3418,8.04,8.139999996744004,1.0124378105402991,cp4
CE3417,21.24000000000001,21.336666658131936,1.0045511609289983,cp3
CE3415,26.55000000000001,26.639999989343863,1.0033898301071131,cp1
CE3416,23.895000000000007,23.9266666570959,1.0013252419793217,cp2
CE3414,18.585,18.623333325883973,1.0020625948821078,cp0
CE3421,8.04,8.043452084785452,1.0004293637792852,cp2
CE3423,21.24000000000001,21.277133036493034,1.0017482597218939,cp4
CE3419,13.47,13.5160687162261,1.0034200977153749,cp0
CE3442,9.38,9.496666662868005,1.012437810540299,cp0
CE3420,15.715000000000002,15.757134974325856,1.0026811946755236,cp1
CE3430,9.38,9.418017938544407,1.004053085132666,cp11
CE3444,21.24000000000001,20.719999991711944,0.9755178903819178,cp4
CE3424,20.205000000000005,20.26677228827228,1.0030572773210726,cp5
CE3443,9.38,9.496666662868005,1.012437810540299,cp2
CE3425,9.38,9.402815277435257,1.0024323323491744,cp6
CE3428,25.41,25.41958362610013,1.0003771596261366,cp9
CE3429,8.04,8.078461558711767,1.0047837759591751,cp10
CE3426,24.69500000000001,24.80577783160322,1.0044858405184534,cp7
CE3427,8.04,8.084297866623052,1.0055096849033647,cp8
CE3422,12.060000000000004,12.172784408802071,1.0093519410283638,cp3
CE3450,8.04,8.07082936048688,1.0038344975729951,cp3
CE3454,21.78,21.819643919269364,1.0018201983135613,cp7
CE3453,20.205000000000005,20.314405789100977,1.0054147878792858,cp6
CE3449,9.38,9.413082598513105,1.003526929479009,cp2
CE3456,20.205000000000005,20.225570253724424,1.0010180773929434,cp9
CE3476,13.47,13.566666661240008,1.0071764410720125,cp7
CE3457,15.715000000000002,15.828865474513156,1.0072456553937739,cp10
CE3447,9.38,9.396199505370774,1.001727026158931,cp0
CE3458,18.585,18.64798868742874,1.0033892218148366,cp11
CE3452,9.38,9.420569254798087,1.004325080468879,cp5
CE3455,32.67000000000001,32.7509412909113,1.0024775418093448,cp8
CE3475,15.715000000000002,15.78666666035201,1.0045603983679292,cp3
CE3451,8.04,8.090726899809324,1.0063093158966823,cp4
CE3448,21.24000000000001,21.346350799677882,1.00500709979651,cp1
CE3493,15.715000000000002,15.744450230304002,1.0018740203820553,cp11
CE3483,9.38,9.386813827880102,1.00072642088274,cp1
CE3482,22.45000000000001,22.498772876513684,1.0021725112032818,cp0
CE3490,8.04,8.05000078488259,1.0012438787167401,cp8
CE3486,26.55000000000001,26.601095168044765,1.0019244884385972,cp4
CE3487,15.93,15.981794981894076,1.0032514112927857,cp5
CE3488,9.38,9.45594319756241,1.008096289718807,cp6
CE3489,8.04,8.06819465484898,1.0035067978667886,cp7
CE3507,20.205000000000005,20.22666665857595,1.0010723414291485,cp1
CE3491,39.930000000000014,39.98083080304716,1.0012729978223678,cp9
CE3485,29.205000000000016,29.24847620524773,1.0014886562317313,cp3
CE3484,13.400000000000006,13.512674353338477,1.0084085338312292,cp2
CE3508,12.060000000000004,12.086666661832007,1.0022111659893866,cp11
CE3492,15.715000000000002,15.724606804016931,1.0006113142867916,cp10
