bs,wfa,std,s1,s2,s3,s4,s5
6062.943330908147,6032.461713972572,5603.046733802505,6059.128479335703,6058.904332438919,3079.3179671823423,5985.065250162459,6005.256397013629
5183.0833312600935,5177.416746580713,4967.124262848031,5180.309426597158,5179.9474688158225,3399.014236188,5120.655514411936,5143.306005632754
5833.543330999908,5825.984300590455,5546.732986330023,5829.232573818366,5828.600856475844,4239.152396726541,5557.1133271083,5607.184702075679
5938.993330957728,5922.874119548066,5605.352234303649,5933.304522050803,5934.413742031882,4762.700017140853,5632.846916746852,5698.811152807795
5692.326664389728,5687.687233068034,5433.513732644693,5688.259258889257,5687.138061074035,5270.2242846720055,5624.742998631451,5641.758030784796
5649.1599977403275,5640.91264767166,5397.285533692632,5643.012394596712,5642.87603545882,5498.081072723966,5609.965744434136,5613.970453663965
5802.586664345625,5794.663070758281,5498.12345923471,5796.614941979435,5797.026187038881,5793.8850216155315,5796.122796454585,5796.661709739588
5718.103331046084,5700.713220267111,5290.9932716862695,5712.118030060057,5712.258841168482,5656.748422132811,5701.496492967219,5701.407552599761
5696.643331054667,5669.711882830661,5381.578790918644,5693.663740324441,5693.65172283923,5661.771590925333,5692.962985068714,5692.317929750252
5749.42999770022,5742.986756983291,5563.294778488581,5746.564254349388,5746.569983436032,5740.260265505956,5744.899070341732,5745.940145629298
5564.676664440788,5558.9156638921995,5362.85053555187,5561.096031532153,5560.889554128902,5558.943922451847,5561.350264996391,5560.4379088989335
5931.469997627404,5917.632933635369,5611.668901576744,5928.280635766997,5926.659586598613,5876.701179996502,5920.165823601592,5927.5940738759855
