datetime,pcc,load,cs,cp0,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8,cp9,cp10,cp11,n_ev
2025-02-01 00:00:00,23.087855399021894,23.087855399021894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:01:00,23.080229588470512,23.080229588470512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:02:00,23.072603777919134,23.072603777919134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:03:00,23.06497796736776,23.06497796736776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:04:00,23.057352156816382,23.057352156816382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:05:00,23.04972634626501,23.04972634626501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:06:00,23.042100535713622,23.042100535713622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:07:00,23.034474725162248,23.034474725162248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:08:00,23.026848914610873,23.026848914610873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:09:00,23.019223104059495,23.019223104059495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:10:00,23.011597293508117,23.011597293508117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:11:00,23.003971482956743,23.003971482956743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:12:00,22.99634567240536,22.99634567240536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:13:00,22.988719861853983,22.988719861853983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:14:00,22.981094051302605,22.981094051302605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:15:00,22.973468240751224,22.973468240751224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:16:00,22.96584243019985,22.96584243019985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:17:00,22.95821661964847,22.95821661964847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:18:00,22.95059080909709,22.95059080909709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:19:00,22.942964998545712,22.942964998545712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:20:00,22.935339187994334,22.935339187994334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:21:00,22.927713377442963,22.927713377442963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
