Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2008-01-01 00:00:00,0,0,0,0,0,0,0,0,13.35,0.7,1,0
2008-01-01 01:00:00,0,0,0,0,0,0,0,0,12.88,0.67,1,0
2008-01-01 02:00:00,0,0,0,0,0,0,0,0,12.45,0.55,1,0
2008-01-01 03:00:00,0,0,0,0,0,0,0,0,12.15,0.68,1,0
2008-01-01 04:00:00,0,0,0,0,0,0,0,0,11.77,0.78,1,0
2008-01-01 05:00:00,0,0,0,0,0,0,0,0,11.34,0.67,1,0
2008-01-01 06:00:00,18.08,0,16.57,1.51,53.92,35.16,18.76,446.15,12.15,0.8,0,0
2008-01-01 07:00:00,50.21,10.93,32.37,6.91,246.22,209.56,36.66,799.78,13.3,0.77,0,0
2008-01-01 08:00:00,286.55,234.61,39.05,12.89,459.16,414.94,44.22,933.54,14.54,1.04,0,0
2008-01-01 09:00:00,534,472.65,42.72,18.62,663.3,614.92,48.38,1002.16,16.38,1.14,0,0
2008-01-01 10:00:00,755.79,687.29,44.91,23.6,840.48,789.62,50.86,1041.53,18.4,1.09,0,0
2008-01-01 11:00:00,928.57,854.94,46.22,27.42,976.52,924.18,52.34,1064.59,20.1,0.47,0,0
2008-01-01 12:00:00,1036.38,959.7,46.91,29.78,1060.64,1007.52,53.12,1076.48,21.53,0.86,0,0
2008-01-01 13:00:00,1069.85,992.25,47.08,30.51,1086.66,1033.34,53.32,1079.58,22.33,2.03,0,0
2008-01-01 14:00:00,1026.3,949.95,46.8,29.55,1052.54,999.54,53,1074.51,23.18,2.92,0,0
2008-01-01 15:00:00,909.61,836.61,46.02,26.98,961.06,908.94,52.12,1060.62,23.65,3.64,0,0
2008-01-01 16:00:00,729.75,662.14,44.61,22.99,819.02,768.5,50.52,1035.26,23.04,4.37,0,0
2008-01-01 17:00:00,503.58,443.44,42.24,17.9,637.58,589.74,47.84,992.39,22.36,4.28,0,0
2008-01-01 18:00:00,254.78,204.4,38.31,12.07,430,386.62,43.38,914.48,21.24,3.98,0,0
2008-01-01 19:00:00,37.17,0,31.05,6.12,217.96,182.8,35.16,763.1,20.14,3.35,0,0
2008-01-01 20:00:00,13.67,0,12.7,0.97,34.66,20.28,14.38,356.62,18.99,2.3,0,0
2008-01-01 21:00:00,0,0,0,0,0,0,0,0,17.9,1.65,1,0
2008-01-01 22:00:00,0,0,0,0,0,0,0,0,17.35,0.93,1,0
2008-01-01 23:00:00,0,0,0,0,0,0,0,0,16.82,0.59,1,0
2008-01-02 00:00:00,0,0,0,0,0,0,0,0,16.41,0.29,1,0
2008-01-02 01:00:00,0,0,0,0,0,0,0,0,16.16,0.18,1,0
2008-01-02 02:00:00,0,0,0,0,0,0,0,0,16.16,0.27,1,0
2008-01-02 03:00:00,0,0,0,0,0,0,0,0,16.04,0.5,1,0
2008-01-02 04:00:00,0,0,0,0,0,0,0,0,15.83,0.95,1,0
2008-01-02 05:00:00,0,0,0,0,0,0,0,0,15.59,0.99,1,0
2008-01-02 06:00:00,13.64,0,13.21,0.43,15.28,0.32,14.96,4.18,15.86,1.17,0,1
2008-01-02 07:00:00,48.1,9.23,32.12,6.75,240.5,204.12,36.38,786.1,15.81,1.04,0,0
2008-01-02 08:00:00,281.32,229.8,38.85,12.67,451.16,407.16,44,920.58,16.31,0.91,0,0
2008-01-02 09:00:00,311.25,4.66,296.98,9.61,342.38,6.06,336.32,9.91,17.48,0.82,0,1
2008-01-02 10:00:00,527.08,16.65,494.17,16.25,578.76,19.12,559.64,25.27,18.56,0.99,0,1
2008-01-02 11:00:00,645.59,33.57,592.17,19.85,706.88,36.26,670.62,41.83,19.79,1.83,0,1
2008-01-02 12:00:00,1031.42,954.9,46.91,29.61,1054.62,1001.5,53.12,1070.97,20.53,3.29,0,0
2008-01-02 13:00:00,1068.43,990.84,47.15,30.43,1084.02,1030.62,53.4,1077.25,20.95,4.04,0,0
2008-01-02 14:00:00,1028.44,951.94,46.92,29.58,1053.46,1000.32,53.14,1075.43,20.93,4.84,0,0
2008-01-02 15:00:00,914.6,841.31,46.2,27.09,964.9,912.58,52.32,1064.65,20.55,5.13,0,0
2008-01-02 16:00:00,736.58,668.6,44.82,23.16,825.08,774.32,50.76,1042.44,19.6,5.25,0,0
2008-01-02 17:00:00,510.84,450.24,42.49,18.11,644.96,596.84,48.12,1003.39,18.76,5.01,0,0
2008-01-02 18:00:00,259.4,208.7,38.48,12.22,435.38,391.8,43.58,925.35,17.52,4.75,0,0
2008-01-02 19:00:00,37.38,0,31.17,6.21,221.2,185.9,35.3,774.39,16.18,3.84,0,0
2008-01-02 20:00:00,14.01,0,12.98,1.03,36.6,21.9,14.7,382.76,14.65,2.49,0,0
2008-01-02 21:00:00,0,0,0,0,0,0,0,0,13.15,1.21,1,0
2008-01-02 22:00:00,0,0,0,0,0,0,0,0,12.09,0.58,1,0
2008-01-02 23:00:00,0,0,0,0,0,0,0,0,11.4,0.74,1,0
2008-01-03 00:00:00,0,0,0,0,0,0,0,0,10.94,0.96,1,0
2008-01-03 01:00:00,0,0,0,0,0,0,0,0,10.3,1.12,1,0
2008-01-03 02:00:00,0,0,0,0,0,0,0,0,9.84,1.18,1,0
2008-01-03 03:00:00,0,0,0,0,0,0,0,0,9.25,1.28,1,0
2008-01-03 04:00:00,0,0,0,0,0,0,0,0,9.08,1.76,1,0
2008-01-03 05:00:00,0,0,0,0,0,0,0,0,8.6,1.71,1,0
2008-01-03 06:00:00,17.56,0,16.09,1.47,52.38,34.16,18.22,460.95,8.28,2.02,0,0
2008-01-03 07:00:00,47.79,8.23,32.53,7.03,250.44,213.6,36.84,830.15,9.33,2.43,0,0
2008-01-03 08:00:00,292.68,240.07,39.4,13.21,470.58,425.96,44.62,967.88,11.35,3.72,0,0
2008-01-03 09:00:00,548.56,486.27,43.16,19.12,681.14,632.26,48.88,1036.72,13.83,4.31,0,0
2008-01-03 10:00:00,778.26,708.59,45.41,24.26,864.28,812.86,51.42,1076.72,16.04,4.53,0,0
2008-01-03 11:00:00,957.72,882.73,46.76,28.23,1005.44,952.48,52.96,1100.27,18.23,4.13,0,0
2008-01-03 12:00:00,1068.7,990.62,47.44,30.65,1091.64,1037.92,53.72,1110.87,20.32,3.4,0,0
2008-01-03 13:00:00,1103.36,1024.36,47.61,31.39,1118.26,1064.34,53.92,1112.97,21.76,2.78,0,0
2008-01-03 14:00:00,1059.11,981.37,47.33,30.42,1083.4,1029.8,53.6,1107.27,22.95,2.43,0,0
2008-01-03 15:00:00,938.98,864.68,46.54,27.77,989.06,936.36,52.7,1092.16,24.14,2.61,0,0
2008-01-03 16:00:00,754.09,685.33,45.09,23.67,843.06,792,51.06,1065.57,23.55,2.67,0,0
2008-01-03 17:00:00,521.83,460.69,42.7,18.44,656.96,608.6,48.36,1022.2,22.91,3.11,0,0
2008-01-03 18:00:00,266.47,215.24,38.73,12.49,445.04,401.18,43.86,946.44,21.69,3.11,0,0
2008-01-03 19:00:00,37.84,0,31.45,6.39,227.56,191.94,35.62,798.43,19.91,3.21,0,0
